sn,question,answer,category
88,"According to Acts 2:27, complete the quote from David: ""...you will not abandon me to the realm of the dead, you will not let your __________ see __________.""","holy one, decay",fill
89,"Fill in the gaps (Acts 3:7-8): Taking him by the right hand, he helped him up, and instantly the man's __________ and __________ became strong. He jumped to his feet and began to __________.","feet, ankles, walk",fill
90,"According to Acts 3:16, complete the principle: it is by faith in the name of Jesus that this man was made strong; “it is Jesus’ name and the __________ that comes through him that has completely __________ him.”",faith; healed,fill
91,"Fill in the gaps (Acts 4:24): they raised their voices together in prayer to God. ""Sovereign __________,"" they said, ""you made the heavens and the earth and the __________ and everything in them.""","Lord, sea",fill
92,Fill in the gaps (Acts 5:12): The apostles performed many __________ and __________ among the people. And all the believers used to meet together in __________ Colonnade.,"signs, wonders, Solomon's",fill
93,"Fill in the gaps (Acts 6:7): So the word of God spread. The number of __________ in Jerusalem increased rapidly, and a large number of __________ became obedient to the faith.","disciples, priests",fill
94,"Fill in the gaps (Acts 7:30): After forty years had passed, an __________ appeared to Moses in the flames of a burning __________ in the desert near Mount __________.","angel, bush, Sinai",fill
95,"Fill in the gaps (Acts 8:20): Peter answered: ""May your __________ perish with you, because you thought you could buy the __________ of God with __________!""","money, gift, money",fill
96,"Fill in the gaps (Acts 9:5-6): ""I am __________, whom you are persecuting,"" he replied. ""Now get up and go into the __________, and you will be told what you must do.""","Jesus, city",fill
97,"Fill in the gaps (Acts 10:15): The voice spoke to him a second time, ""Do not call anything __________ that God has made __________.""","impure, clean",fill
98,"Fill in the gaps (Acts 12:13-14): Peter knocked at the outer entrance, and a servant named __________ came to answer. When she recognized Peter's __________, she was so overjoyed she ran back without opening it.","Rhoda, voice",fill
99,"Fill in the gaps (Acts 4:12): Salvation is found in no one else, for there is no other __________ under heaven given to mankind by which we must be __________.",name; saved,fill
100,"Fill in the gaps (Acts 9:15): But the Lord said to Ananias, Go! This man is my chosen __________ to proclaim my name to the __________ and their kings and to the people of __________.",instrument; Gentiles; Israel,fill
101,"True or False?: According to Acts 1:3, after his suffering Jesus presented himself to the apostles and gave many convincing proofs that he was alive, appearing to them over a period of forty days.",TRUE,tof
102,"True or False?: According to Acts 2:4, all of them were filled with the Holy Spirit and began to speak in other tongues as the Spirit enabled them.",TRUE,tof
103,"True or False?: According to Acts 2:41, about three thousand were added to their number on the day of Pentecost.",TRUE,tof
104,"True or False?: According to Acts 4:32, all the believers were one in heart and mind, and they shared everything they had.",TRUE,tof
105,"True or False?: According to Acts 5:15, people brought the sick into the streets so that at least Peter's shadow might fall on some of them as he passed by.",TRUE,tof
106,"True or False?: According to Acts 6:5, Stephen is described as a man full of faith and of the Holy Spirit.",TRUE,tof
107,"True or False?: According to Acts 7:60, Stephen's last recorded words were a prayer that the Lord would not hold this sin against those stoning him.",TRUE,tof
108,"True or False?: According to Acts 9:18, after Ananias visited him, something like scales fell from Saul's eyes, he could see again, and he got up and was baptized.",TRUE,tof
109,"True or False?: According to Acts 12:23, Herod was struck down by an angel of the Lord and was eaten by worms and died, because he did not give praise to God.",TRUE,tof
110,"True or False?: According to Acts 1:18-19, the field Judas bought was called Akeldama, meaning Field of the Potter in their language.",FALSE: Akeldama means Field of Blood.,tof
111,"True or False?: According to Acts 2:13, everyone who heard the disciples speaking was amazed and believed at once.",FALSE: some made fun of them and said they had had too much wine.,tof
112,"True or False?: According to Acts 2:46-47, the Lord added to their number weekly those who were being saved.",FALSE: the Lord added to their number daily.,tof
113,"True or False?: According to Acts 7:55-56, Stephen looked up and saw the glory of God and the Son of Man seated at the right hand of God.",FALSE: he saw the Son of Man standing at the right hand of God.,tof
114,"True or False?: According to Acts 7:9-10, God gave Joseph wisdom to gain the goodwill of Potiphar, who made him ruler over Egypt.","FALSE: it was Pharaoh, not Potiphar, who made Joseph ruler over Egypt.",tof
115,"True or False?: According to Acts 8:9-13, when Philip preached, Simon the sorcerer refused to believe and kept practising his magic.","FALSE: Simon himself believed and was baptized, and followed Philip everywhere.",tof
116,"True or False?: According to Acts 9:7, the men travelling with Saul stood speechless because they saw the light and the man speaking but heard no sound at all.",FALSE: they heard the sound but did not see anyone.,tof
117,"True or False?: According to Acts 11:26, it was in Jerusalem that the disciples were first called Christians.",FALSE: the disciples were first called Christians at Antioch.,tof
118,"True or False?: According to Acts 14:11-15, when the crowd at Lystra called them Zeus and Hermes, Paul and Barnabas accepted the honour to avoid offending them.","FALSE: they tore their clothes and rushed out, urging the crowd to turn to the living God.",tof
119,Spell the word,THEOPHILUS,spell
120,Spell the word,AKELDAMA,spell
121,Spell the word,CAPPADOCIA,spell
122,Spell the word,COLONNADE,spell
123,Spell the word,CAIAPHAS,spell
124,Spell the word,SADDUCEES,spell
125,Spell the word,SAPPHIRA,spell
126,Spell the word,GAMALIEL,spell
127,Spell the word,THEUDAS,spell
128,Spell the word,NICANOR,spell
129,Spell the word,PARMENAS,spell
130,Spell the word,MESOPOTAMIA,spell
131,Spell the word,SHECHEM,spell
132,Spell the word,ETHIOPIAN,spell
133,Spell the word,DAMASCUS,spell
134,Spell the word,AENEAS,spell
135,Spell the word,CORNELIUS,spell
136,Spell the word,PHOENICIA,spell
137,Spell the word,CLAUDIUS,spell
138,Spell the word,SERGIUS PAULUS,spell
139,Spell the word,LYCAONIAN,spell
140,Spell the word,DERBE,spell
